ref.tax.name	IMG.genome.ID	status	domain	phylum	rRNA.gene.copy.number	genome.size.Mbp
ref2264878848	2264867010	Permanent Draft	Bacteria	Proteobacteria	1	0.889605
ref2264880758	2264867012	Permanent Draft	Bacteria	Proteobacteria	1	0.979689
ref2264881755	2264867013	Permanent Draft	Bacteria	Proteobacteria	1	1.091316
ref2264885403	2264867016	Permanent Draft	Bacteria	Proteobacteria	2	1.396108
ref2264942625	2264867058	Permanent Draft	Bacteria	Aerophobetes	1	1.26362
ref2264943416	2264867060	Permanent Draft	Bacteria	Aerophobetes	1	0.368019
ref2264946425	2264867062	Permanent Draft	Archaea	Aenigmarchaeota	1	0.361035
ref2264947158	2264867063	Permanent Draft	Archaea	Nanoarchaeota	1	0.547038
ref2264948130	2264867065	Permanent Draft	Archaea	Aenigmarchaeota	1	0.428886
ref2264948328	2264867066	Permanent Draft	Archaea	Diapherotrites	1	0.316537
ref2264949424	2264867067	Permanent Draft	Archaea	Diapherotrites	1	1.098042
ref2264950574	2264867069	Permanent Draft	Archaea	Nanoarchaeota	1	0.348121
ref2264951605	2264867070	Permanent Draft	Archaea	Nanoarchaeota	1	1.02122
ref2264952753	2264867072	Permanent Draft	Archaea	Nanoarchaeota	1	0.29949
ref2264954233	2264867075	Permanent Draft	Bacteria	Fervidibacteria	1	0.586165
ref2264961259	2264867082	Permanent Draft	Bacteria	Calescamantes	1	0.685388
ref2264962814	2264867084	Permanent Draft	Bacteria	Calescamantes	1	1.075924
ref2264965643	2264867087	Permanent Draft	Bacteria	Calescamantes	1	1.477701
ref2264965924	2264867088	Permanent Draft	Bacteria	Calescamantes	1	0.531498
ref2264966289	2264867089	Permanent Draft	Bacteria	Fervidibacteria	1	0.206205
ref2264966519	2264867090	Permanent Draft	Bacteria	EM3	1	0.148065
ref2264971814	2264867098	Permanent Draft	Bacteria	Cloacimonetes	1	1.071789
ref2264980565	2264867106	Permanent Draft	Bacteria	Cloacimonetes	1	1.628562
ref2264981616	2264867108	Permanent Draft	Bacteria	Cloacimonetes	1	0.499464
ref2264985044	2264867110	Permanent Draft	Bacteria	Cloacimonetes	1	1.93767
ref2265009416	2264867132	Permanent Draft	Bacteria	Hydrogenedentes	1	0.356599
ref2265015819	2264867141	Permanent Draft	Bacteria	Parcubacteria	1	0.431116
ref2265016418	2264867142	Permanent Draft	Bacteria	Acetothermia	1	0.669384
ref2265021226	2264867149	Permanent Draft	Bacteria	Microgenomates	1	0.594449
ref2265022729	2264867151	Permanent Draft	Bacteria	Microgenomates	1	0.633002
ref2265026717	2264867157	Permanent Draft	Bacteria	Microgenomates	1	0.201385
ref2265026858	2264867158	Permanent Draft	Bacteria	Omnitrophica	1	0.767845
ref2265030738	2264867162	Permanent Draft	Bacteria	Omnitrophica	1	2.037078
ref2265034738	2264867167	Permanent Draft	Bacteria	Aminicenantes	1	0.444384
ref2265059772	2264867190	Permanent Draft	Bacteria	Aminicenantes	1	0.752971
ref2265067958	2264867198	Permanent Draft	Bacteria	Aminicenantes	1	0.436443
ref2265070651	2264867201	Permanent Draft	Bacteria	Atribacteria	1	0.152628
ref2265074884	2264867206	Permanent Draft	Bacteria	Atribacteria	1	0.504973
ref2265076778	2264867209	Permanent Draft	Bacteria	Atribacteria	1	0.497803
ref2265078245	2264867211	Permanent Draft	Bacteria	Atribacteria	1	0.321674
ref2265079175	2264867212	Permanent Draft	Bacteria	Atribacteria	2	1.011276
ref2265079789	2264867213	Permanent Draft	Bacteria	Atribacteria	1	0.719583
ref2265080888	2264867214	Permanent Draft	Bacteria	Atribacteria	1	0.880181
ref2265088273	2264867218	Permanent Draft	Archaea	Aigarchaeota	1	0.482646
ref2265091874	2264867226	Permanent Draft	Archaea	Aigarchaeota	1	0.249792
ref2265093822	2264867229	Permanent Draft	Archaea	Aigarchaeota	1	1.085321
ref2265096604	2264867234	Permanent Draft	Bacteria	Marinimicrobia	1	0.493984
ref2265097070	2264867235	Permanent Draft	Bacteria	Marinimicrobia	1	0.828046
ref2265100910	2264867240	Permanent Draft	Bacteria	Marinimicrobia	2	0.888773
ref2265101715	2264867241	Permanent Draft	Bacteria	Marinimicrobia	1	1.265631
ref2265103078	2264867242	Permanent Draft	Bacteria	Marinimicrobia	1	0.884929
ref2265103969	2264867243	Permanent Draft	Bacteria	Marinimicrobia	1	0.979176
ref2265106771	2264867247	Permanent Draft	Bacteria	Synergistetes	2	0.967373
ref2265107732	2264867248	Permanent Draft	Archaea	Thaumarchaeota	1	0.29149
ref2265108956	2264867251	Permanent Draft	Bacteria	Latescibacteria	1	1.771475
ref2265112160	2264867253	Permanent Draft	Bacteria	Latescibacteria	1	0.601658
ref2265114206	2264867254	Permanent Draft	Bacteria	Latescibacteria	1	2.290285
ref2265116635	2264867261	Permanent Draft	Bacteria	Cloacimonetes	1	0.71261
ref2265137453	2265129005	Permanent Draft	Bacteria	Proteobacteria	2	1.115049
ref2265142572	2265129008	Permanent Draft	Bacteria	Poribacteria	1	0.189191
ref2265147430	2265129010	Permanent Draft	Bacteria	Poribacteria	1	0.414219
ref2265149535	2265129013	Permanent Draft	Bacteria	Gracilibacteria	1	0.341011
ref2500070851	2500069000	Permanent Draft	Bacteria	Firmicutes	6	2.301232
ref2501022241	2501004205	Finished	Bacteria	Proteobacteria	2	4.417868
ref2501414483	2501025505	Permanent Draft	Archaea	Euryarchaeota	1	2.206431
ref2501491462	2501416924	Finished	Bacteria	Bacteroidetes	3	2.11979
ref2501545629	2501533201	Draft	Bacteria	Cyanobacteria	1	9.914099
ref2501894854	2501846309	Draft	Bacteria	Chlorobi	1	2.728073
ref2501904811	2501846311	Draft	Bacteria	Bacteroidetes	1	2.282724
ref2501939502	2501915963	Draft	Bacteria	Firmicutes	2	2.412168
ref2502220678	2502171150	Draft	Bacteria	Actinobacteria	3	3.042856
ref2502236986	2502171156	Draft	Bacteria	Deinococcus-Thermus	1	2.483116
ref2502290684	2502171170	Permanent Draft	Bacteria	Firmicutes	1	1.945596
ref2502307047	2502171175	Permanent Draft	Bacteria	Proteobacteria	1	7.369831
ref2502320521	2502171179	Draft	Bacteria	Proteobacteria	1	4.117408
ref2502358836	2502171186	Permanent Draft	Bacteria	Proteobacteria	1	2.976518
ref2502502716	2502422321	Draft	Bacteria	Bacteroidetes	1	4.948485
ref2502520820	2502422326	Permanent Draft	Archaea	Nanohaloarchaeota	1	1.227157
ref2502522245	2502422327	Permanent Draft	Archaea	Nanohaloarchaeota	1	1.215802
ref2502571581	2502545005	Draft	Bacteria	Proteobacteria	1	4.173508
ref2502676015	2502545037	Draft	Bacteria	Proteobacteria	1	4.355389
ref2502685867	2502545039	Permanent Draft	Bacteria	Bacteroidetes	1	4.952578
ref2502855360	2502790015	Permanent Draft	Bacteria	Synergistetes	3	2.63012
ref2502869995	2502790017	Finished	Archaea	Euryarchaeota	3	2.138444
ref2502877593	2502873002	Draft	Archaea	Crenarchaeota	1	1.445233
ref2502886588	2502873006	Permanent Draft	Bacteria	Proteobacteria	1	5.031829
ref2503002678	2502957026	Draft	Archaea	Thaumarchaeota	1	1.532059
ref2503009358	2502957028	Finished	Bacteria	Proteobacteria	2	6.517073
ref2503058687	2503044005	Draft	Archaea	Crenarchaeota	1	1.523776
ref2503127202	2503113005	Permanent Draft	Bacteria	Proteobacteria	1	2.459485
ref2503166057	2503128008	Draft	Bacteria	Proteobacteria	1	4.68301
ref2503199683	2503198000	Finished	Bacteria	Proteobacteria	2	6.884444
ref2503332350	2503283009	Draft	Bacteria	Cyanobacteria	2	6.287279
ref2503352260	2503283017	Permanent Draft	Bacteria	Proteobacteria	1	1.456888
ref2503354955	2503283018	Permanent Draft	Bacteria	Proteobacteria	1	1.333209
ref2503356127	2503283019	Permanent Draft	Bacteria	Proteobacteria	1	1.237371
ref2503364240	2503283022	Draft	Bacteria	Proteobacteria	1	1.279674
ref2503366716	2503283023	Finished	Bacteria	Cyanobacteria	3	3.163381
ref2503526667	2503508007	Finished	Bacteria	Thermotogae	1	2.039943
ref2503533953	2503508009	Finished	Bacteria	Firmicutes	3	3.135972
ref2503574972	2503538010	Finished	Bacteria	Actinobacteria	2	2.115681
ref2503597821	2503538017	Draft	Bacteria	Firmicutes	2	3.334024
ref2503606194	2503538020	Finished	Bacteria	Cyanobacteria	3	4.681111
ref2503615230	2503538021	Finished	Bacteria	Cyanobacteria	3	6.689401
ref2503635565	2503538028	Finished	Bacteria	Cyanobacteria	3	4.17917
ref2503696424	2503692001	Finished	Bacteria	Proteobacteria	1	3.944167
ref2503736905	2503707007	Finished	Bacteria	Bacteroidetes	2	4.633577
ref2503738781	2503707008	Finished	Bacteria	Cyanobacteria	4	6.329823
ref2503746339	2503707009	Finished	Bacteria	Cyanobacteria	3	4.176973
ref2503755173	2503754000	Draft	Bacteria	Proteobacteria	1	1.43793
ref2503785031	2503754015	Finished	Bacteria	Proteobacteria	2	3.858983
ref2503789921	2503754016	Finished	Bacteria	Proteobacteria	1	4.189402
ref2503796883	2503754017	Finished	Bacteria	Cyanobacteria	2	5.88271
ref2503798462	2503754019	Finished	Bacteria	Cyanobacteria	2	5.54499
ref2503875969	2503754046	Permanent Draft	Bacteria	Bacteroidetes	4	3.388644
ref2503887089	2503754048	Finished	Bacteria	Cyanobacteria	2	5.12595
ref2503956488	2503904012	Finished	Bacteria	Spirochaetes	3	2.227296
ref2503964461	2503904014	Finished	Bacteria	Proteobacteria	3	4.573221
ref2503994379	2503982002	Draft	Bacteria	Proteobacteria	1	4.836222
ref2503999173	2503982003	Draft	Bacteria	Proteobacteria	1	3.886134
ref2504026970	2503982012	Draft	Bacteria	Firmicutes	14	2.447616
ref2504084068	2503982034	Finished	Bacteria	Proteobacteria	1	1.560469
ref2504087011	2503982035	Finished	Bacteria	Cyanobacteria	2	8.272254
ref2504097184	2503982036	Finished	Bacteria	Cyanobacteria	4	6.960392
ref2504099269	2503982037	Finished	Bacteria	Acidobacteria	1	6.237577
ref2504106408	2503982039	Permanent Draft	Bacteria	Bacteroidetes	3	2.991798
ref2504111167	2503982041	Finished	Bacteria	Proteobacteria	1	1.410127
ref2504127887	2503982046	Draft	Bacteria	Firmicutes	1	2.232586
ref2504131113	2503982047	Finished	Bacteria	Cyanobacteria	4	7.063285
ref2504136265	2504136000	Finished	Bacteria	Proteobacteria	2	1.69443
ref2504145513	2504136002	Finished	Archaea	Euryarchaeota	1	1.901943
ref2504156402	2504136006	Finished	Bacteria	Proteobacteria	1	3.282536
ref2504550221	2504136012	Finished	Bacteria	Proteobacteria	5	4.972148
ref2504585663	2504557006	Finished	Bacteria	Firmicutes	4	2.568361
ref2504607334	2504557012	Finished	Bacteria	Spirochaetes	4	2.897425
ref2504620954	2504557015	Draft	Bacteria	Bacteroidetes	4	4.165217
ref2504622250	2504557016	Permanent Draft	Bacteria	Bacteroidetes	3	2.291461
ref2504636695	2504557021	Permanent Draft	Bacteria	Proteobacteria	1	2.16887
ref2504644540	2504643000	Draft	Bacteria	Cyanobacteria	1	3.812968
ref2504656095	2504643003	Draft	Bacteria	Cyanobacteria	1	3.674393
ref2504659891	2504643006	Finished	Bacteria	Deinococcus-Thermus	3	2.269167
ref2504662376	2504643007	Finished	Bacteria	Actinobacteria	1	1.430433
ref2504665541	2504643008	Draft	Bacteria	Proteobacteria	2	2.667719
ref2504680411	2504643012	Finished	Bacteria	Cyanobacteria	2	4.88568
ref2504685343	2504643013	Finished	Bacteria	Cyanobacteria	4	5.620407
ref2504699010	2504643016	Draft	Bacteria	Proteobacteria	3	3.116196
ref2504718990	2504643023	Permanent Draft	Archaea	Thaumarchaeota	1	1.680938
ref2504744965	2504643031	Finished	Bacteria	Proteobacteria	3	1.894157
ref2504772400	2504756004	Finished	Bacteria	Bacteroidetes	2	8.771651
ref2504783692	2504756006	Finished	Bacteria	Firmicutes	2	1.898865
ref2504813573	2504756013	Draft	Archaea	Geoarchaeota	1	1.724139
ref2504824497	2504756018	Finished	Bacteria	Bacteroidetes	2	2.18637
ref2504835504	2504756021	Draft	Bacteria	Proteobacteria	1	1.779799
ref2504839153	2504756023	Draft	Bacteria	Proteobacteria	1	1.983137
ref2504845220	2504756026	Draft	Bacteria	Proteobacteria	1	1.791362
ref2504852424	2504756030	Draft	Bacteria	Proteobacteria	1	1.885078
ref2504862434	2504756035	Draft	Bacteria	Proteobacteria	1	1.846774
ref2504863867	2504756036	Draft	Bacteria	Proteobacteria	1	1.697552
ref2504868957	2504756038	Draft	Bacteria	Proteobacteria	1	1.704705
ref2504874842	2504756040	Draft	Bacteria	Proteobacteria	1	2.929142
ref2504900102	2504756048	Draft	Bacteria	Firmicutes	3	2.396699
ref2504906983	2504756050	Draft	Bacteria	Actinobacteria	5	8.083687
ref2504956475	2504756058	Finished	Bacteria	Firmicutes	4	2.785056
ref2504962372	2504756059	Finished	Bacteria	Proteobacteria	3	5.051681
ref2504969139	2504756061	Draft	Bacteria	Proteobacteria	1	4.220723
ref2504979044	2504756063	Draft	Bacteria	Actinobacteria	1	3.247456
ref2505156079	2505119009	Draft	Bacteria	Firmicutes	1	1.529892
ref2505176871	2505119014	Draft	Bacteria	Proteobacteria	8	5.479946
ref2505182951	2505119015	Draft	Bacteria	Proteobacteria	1	3.434825
ref2505214859	2505119024	Draft	Bacteria	Firmicutes	1	2.472664
ref2505244413	2505119026	Draft	Bacteria	Firmicutes	1	3.131531
ref2505249250	2505119028	Draft	Bacteria	Firmicutes	1	2.504458
ref2505258573	2505119032	Draft	Bacteria	Proteobacteria	1	1.757628
ref2505268632	2505119037	Permanent Draft	Bacteria	Proteobacteria	1	1.999684
ref2505282625	2505119041	Draft	Bacteria	Firmicutes	1	2.69015
ref2505283800	2505119042	Finished	Bacteria	Thermodesulfobacteria	2	2.322224
ref2505286019	2505119043	Finished	Bacteria	Synergistetes	3	1.999646
ref2505310612	2505119052	Permanent Draft	Bacteria	Proteobacteria	1	0.78659
ref2505313036	2505313000	Draft	Bacteria	Proteobacteria	1	2.026292
ref2505382414	2505313015	Finished	Bacteria	Firmicutes	5	2.588309
ref2505394671	2505313024	Draft	Bacteria	Firmicutes	1	2.562427
ref2505514264	2505313045	Draft	Bacteria	Proteobacteria	1	7.342167
ref2505520674	2505313046	Draft	Bacteria	Proteobacteria	1	6.322699
ref2505534524	2505313048	Draft	Bacteria	Proteobacteria	1	5.932852
ref2505538388	2505313049	Draft	Bacteria	Proteobacteria	2	5.985257
ref2505683854	2505679002	Draft	Bacteria	Bacteroidetes	1	0.593824
ref2505688479	2505679005	Finished	Archaea	Crenarchaeota	1	1.843267
ref2505690872	2505679006	Finished	Bacteria	Spirochaetes	3	3.23934
ref2505695635	2505679007	Finished	Bacteria	Bacteroidetes	2	3.842422
ref2505698892	2505679008	Finished	Bacteria	Deferribacteres	2	2.52659
ref2505699539	2505679009	Finished	Bacteria	Proteobacteria	2	1.932455
ref2505736661	2505679016	Finished	Bacteria	Actinobacteria	2	3.526441
ref2505768419	2505679024	Permanent Draft	Bacteria	Cyanobacteria	1	5.38
ref2505784000	2505679029	Draft	Bacteria	Cyanobacteria	3	5.720887
ref2505789436	2505679030	Finished	Bacteria	Bacteroidetes	2	6.919729
ref2505800025	2505679032	Finished	Bacteria	Cyanobacteria	3	7.023215
ref2505886835	2505679052	Draft	Archaea	Crenarchaeota	1	3.855392
ref2505900997	2505679056	Draft	Bacteria	Proteobacteria	1	4.259296
ref2505946513	2505679067	Draft	Bacteria	Actinobacteria	1	6.318032
ref2505952464	2505679068	Finished	Bacteria	Actinobacteria	3	3.30774
ref2505958913	2505679071	Finished	Bacteria	Aquificae	2	1.552607
ref2505969857	2505679073	Finished	Archaea	Euryarchaeota	3	3.179916
ref2505971438	2505679075	Finished	Archaea	Euryarchaeota	2	2.957635
ref2505978246	2505679077	Finished	Bacteria	Deinococcus-Thermus	2	2.303227
ref2505980268	2505679078	Finished	Bacteria	Bacteroidetes	1	3.334122
ref2505993824	2505679080	Finished	Bacteria	Bacteroidetes	4	6.226409
ref2506002855	2505679082	Finished	Bacteria	Proteobacteria	4	4.920769
ref2506046078	2505679089	Finished	Bacteria	Actinobacteria	2	4.266344
ref2506095016	2505679104	Finished	Bacteria	Firmicutes	8	2.892255
ref2506229834	2506210002	Finished	Bacteria	Proteobacteria	7	4.684316
ref2506231469	2506210003	Finished	Bacteria	Proteobacteria	8	3.89994
ref2506240146	2506210005	Draft	Bacteria	Firmicutes	6	3.861015
ref2506288319	2506210009	Draft	Bacteria	Proteobacteria	3	1.807321
ref2506350421	2506210028	Permanent Draft	Bacteria	Cyanobacteria	1	6.698929
ref2506363867	2506210031	Permanent Draft	Bacteria	Proteobacteria	1	6.71915
ref2506378246	2506210034	Finished	Bacteria	Aquificae	2	1.552931
ref2506379412	2506210035	Finished	Bacteria	Aquificae	2	1.552775
ref2506381329	2506381000	Draft	Bacteria	Cyanobacteria	1	5.485894
ref2506401742	2506381007	Draft	Bacteria	Bacteroidetes	4	2.249024
ref2506403731	2506381008	Draft	Bacteria	Bacteroidetes	4	2.378872
ref2506405666	2506381009	Draft	Bacteria	Bacteroidetes	4	2.372492
ref2506407744	2506381010	Draft	Bacteria	Bacteroidetes	4	2.367029
ref2506417354	2506381013	Permanent Draft	Bacteria	Cyanobacteria	3	5.737366
ref2506440893	2506381017	Permanent Draft	Bacteria	Firmicutes	4	2.116621
ref2506446045	2506381019	Permanent Draft	Bacteria	Actinobacteria	3	9.322173
ref2506463058	2506381022	Finished	Bacteria	Spirochaetes	2	2.560222
ref2506466765	2506381023	Finished	Bacteria	Bacteroidetes	3	6.221273
ref2506474584	2506381025	Permanent Draft	Archaea	Euryarchaeota	1	3.200946
ref2506482880	2506381026	Permanent Draft	Bacteria	Cyanobacteria	1	8.478612
ref2506487567	2506485001	Finished	Bacteria	Bacteroidetes	2	5.220361
ref2506492397	2506485002	Permanent Draft	Bacteria	Cyanobacteria	3	5.886741
ref2506503971	2506485007	Finished	Bacteria	Firmicutes	3	2.674809
ref2506576234	2506520007	Finished	Bacteria	Proteobacteria	7	5.44288
ref2506600536	2506520011	Permanent Draft	Bacteria	Cyanobacteria	2	5.3236
ref2506601970	2506520012	Finished	Bacteria	Thermodesulfobacteria	1	1.634377
ref2506606185	2506520013	Finished	Bacteria	Spirochaetes	2	4.409302
ref2506608596	2506520014	Draft	Bacteria	Cyanobacteria	2	5.050153
ref2506612333	2506520015	Finished	Bacteria	Firmicutes	5	3.557831
ref2506616753	2506520016	Finished	Bacteria	Bacteroidetes	3	9.033684
ref2506649073	2506520020	Permanent Draft	Bacteria	Bacteroidetes	4	8.408322
ref2506672738	2506520024	Draft	Bacteria	Proteobacteria	3	3.516054
ref2506676119	2506520025	Draft	Bacteria	Firmicutes	1	3.307499
ref2506689757	2506520034	Finished	Archaea	Euryarchaeota	3	4.355268
ref2506707427	2506520038	Finished	Bacteria	Proteobacteria	7	5.447
ref2506713366	2506520039	Permanent Draft	Archaea	Euryarchaeota	2	1.945078
ref2506718124	2506520040	Permanent Draft	Bacteria	Chloroflexi	3	4.890986
ref2506718621	2506520041	Finished	Bacteria	Proteobacteria	2	4.22549
ref2506723703	2506520042	Permanent Draft	Bacteria	Bacteroidetes	1	3.329718
ref2506725681	2506520043	Finished	Bacteria	Proteobacteria	1	3.756729
ref2506730035	2506520044	Finished	Archaea	Euryarchaeota	4	4.314118
ref2506735268	2506520045	Permanent Draft	Bacteria	Fusobacteria	2	2.281162
ref2506736934	2506520046	Draft	Bacteria	Bacteroidetes	4	5.987095
ref2506740832	2506520047	Finished	Bacteria	Firmicutes	12	4.815602
ref2506748035	2506520048	Permanent Draft	Bacteria	Cyanobacteria	2	5.140668
ref2506752865	2506520049	Permanent Draft	Bacteria	Proteobacteria	2	4.691711
ref2506757418	2506520050	Permanent Draft	Bacteria	Bacteroidetes	1	4.301842
ref2506765141	2506520052	Draft	Bacteria	Firmicutes	7	4.07098
ref2506771034	2506520053	Draft	Bacteria	Proteobacteria	1	3.830046
ref2506847301	2506783006	Finished	Bacteria	Bacteroidetes	2	4.697343
ref2506857249	2506783009	Finished	Archaea	Euryarchaeota	2	3.223876
ref2506860951	2506783010	Permanent Draft	Bacteria	Spirochaetes	1	4.52276
ref2506867045	2506783011	Finished	Bacteria	Actinobacteria	2	5.323186
ref2506871758	2506783014	Finished	Bacteria	Actinobacteria	2	6.342624
ref2506982680	2506783034	Permanent Draft	Archaea	Euryarchaeota	1	2.649547
ref2507039271	2506783043	Draft	Bacteria	Firmicutes	2	3.321381
ref2507040637	2506783044	Draft	Bacteria	Proteobacteria	7	4.045881
ref2507047819	2506783045	Finished	Bacteria	Proteobacteria	1	3.808687
ref2507049434	2506783046	Permanent Draft	Bacteria	Firmicutes	9	6.848306
ref2507054340	2506783047	Finished	Archaea	Euryarchaeota	1	3.16256
ref2507062930	2506783048	Permanent Draft	Bacteria	Actinobacteria	2	7.294533
ref2507076594	2506783051	Draft	Archaea	Euryarchaeota	2	3.332022
ref2507079585	2506783052	Finished	Archaea	Euryarchaeota	2	3.643158
ref2507084621	2506783053	Permanent Draft	Bacteria	Bacteroidetes	2	3.966857
ref2507087357	2506783054	Permanent Draft	Bacteria	Cyanobacteria	2	5.621883
ref2507114372	2506783059	Finished	Bacteria	Proteobacteria	2	4.137521
ref2507120226	2506783060	Finished	Bacteria	Actinobacteria	2	7.221766
ref2507129286	2506783062	Finished	Bacteria	Firmicutes	5	2.894276
ref2507132454	2506783063	Finished	Bacteria	Proteobacteria	2	2.158359
ref2507136018	2506783064	Finished	Bacteria	Proteobacteria	2	2.510109
ref2507146134	2506783068	Finished	Archaea	Euryarchaeota	2	2.4751
ref2507171990	2507149004	Draft	Bacteria	Proteobacteria	4	3.111156
ref2507208434	2507149014	Finished	Bacteria	Thermotogae	2	2.166381
ref2507212237	2507149015	Finished	Bacteria	Proteobacteria	4	4.600489
ref2507243478	2507149024	Finished	Bacteria	Firmicutes	8	3.176073
ref2507311487	2507262011	Finished	Bacteria	Cyanobacteria	2	2.585813
ref2507314195	2507262012	Finished	Bacteria	Cyanobacteria	3	2.572069
ref2507319182	2507262013	Finished	Bacteria	Cyanobacteria	1	2.789
ref2507329885	2507262015	Permanent Draft	Bacteria	Proteobacteria	3	6.691911
ref2507332731	2507262016	Permanent Draft	Bacteria	Cyanobacteria	1	8.133444
ref2507402959	2507262026	Permanent Draft	Bacteria	Firmicutes	6	3.052787
ref2507408932	2507262027	Permanent Draft	Bacteria	Proteobacteria	2	4.962262
ref2507411655	2507262028	Draft	Bacteria	Proteobacteria	1	1.531246
ref2507416735	2507262029	Draft	Bacteria	Cyanobacteria	1	5.119248
ref2507425234	2507262031	Finished	Bacteria	Firmicutes	6	4.321753
ref2507441981	2507262035	Permanent Draft	Bacteria	Proteobacteria	10	5.225715
ref2507452552	2507262036	Permanent Draft	Bacteria	Cyanobacteria	2	6.08921
ref2507461044	2507262043	Finished	Archaea	Euryarchaeota	1	2.052856
ref2507477680	2507262048	Permanent Draft	Bacteria	Cyanobacteria	7	11.584393
ref2507489315	2507262051	Finished	Bacteria	Firmicutes	6	4.897678
ref2507493745	2507262052	Permanent Draft	Bacteria	Cyanobacteria	2	2.70669
ref2507499289	2507262054	Permanent Draft	Bacteria	Cyanobacteria	2	5.460476
ref2507515416	2507262057	Finished	Bacteria	Proteobacteria	9	4.762179
ref2508010189	2507525018	Permanent Draft	Bacteria	Proteobacteria	4	7.923462
ref2508505429	2508501000	Draft	Bacteria	Proteobacteria	1	4.610829
ref2508512684	2508501002	Finished	Bacteria	Firmicutes	8	4.855529
